vehicle_type,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),age,
2,29,763735.4584,54887.12161,26.89614624,409.4706132,8.616329491,5,
2,30,899560.9853,64648.44947,32.20525938,1774.761057,14.41314345,5,
2,33,198549.6984,14269.105,6.192819897,45.72953939,0.292341834,5,
2,35,303866.4148,21837.86635,9.815434748,78.05044888,0.334700784,5,
2,37,401788.9175,28875.2302,13.43157312,91.71933834,0.531768259,5,
2,38,521923.6518,37508.91311,21.20825565,139.2589368,2.315008441,5,
2,39,683733.9989,49137.68339,33.09802939,317.1793201,4.124574676,5,
2,40,904704.1055,65018.06838,37.20647861,746.8643389,5.524337799,5,
3,0,82442.74983,5924.885621,1.927401526,17.90553527,0.561718924,5,
3,1,63549.17268,4567.06721,0.787567194,11.2693212,0.27045603,5,
3,11,102815.6976,7389.02147,2.414514579,31.12119531,0.849428412,5,
3,12,128631.9451,9244.349123,2.294929716,13.5446109,0.643521463,5,
3,13,185086.5259,13301.55166,5.101343463,39.49666207,1.341676882,5,
3,14,234527.2382,16854.69085,7.904950248,55.50622179,1.632638948,5,
3,15,282829.4034,20326.00645,9.918920276,79.96900838,2.15617805,5,
3,16,353314.2672,25391.51867,17.00539615,119.5227208,3.134901256,5,
3,21,137504.4136,9881.983855,4.652000671,33.97149828,0.691373272,5,
3,22,147661.8988,10611.96846,7.771465161,43.00213284,1.068344111,5,
3,23,182378.6714,13106.94718,7.930177577,52.24169109,1.234683784,5,
3,24,236292.8665,16981.58067,11.39666564,85.19667149,1.644516526,5,
3,25,303440.6069,21807.26495,12.61608174,68.9230839,1.401622573,5,
3,27,417898.9054,30033.00133,13.77714636,106.3341658,1.438008112,5,
3,28,557800.1293,40087.23596,24.11064101,365.1416943,6.95280939,5,
3,29,764468.3666,54939.79328,31.23618967,413.0636745,9.290192563,5,
3,30,900232.672,64696.72136,38.32936464,1731.379472,14.90240676,5,
3,33,198727.0465,14281.85041,10.74302291,60.5329977,0.422914238,5,
3,35,304149.2565,21858.19323,14.86204582,90.02971399,0.46088552,5,
3,37,402246.3909,28908.10729,19.29307176,103.4354043,0.789657705,5,
3,38,522414.7795,37544.20882,27.01731169,149.7076731,2.368835982,5,
3,39,684246.9059,49174.5443,39.1226552,319.4492607,4.118428518,5,
3,40,905345.678,65064.17606,45.21727449,729.5647821,5.702280568,5,
4,0,217515,15951 ,125.522634,21.8529299,13.8193753,5,
4,1,107131,7856 ,46.1686254,34.3895355,10.8056366,5,
4,11,143758,10542 ,45.0406301,61.5209044,27.1797223,5,
4,12,418318,30677 ,207.429,72.6531297,28.0444339,5,
4,13,766213,56189 ,336.293,104.598899,33.0245525,5,
4,14,1118100,81994 ,458.9,124.841335,36.3494322,5,
4,15,1413980,103692 ,520.391,137.5772,30.9111582,5,
4,16,1944920,142627 ,675.249,163.621838,32.2375168,5,
4,21,115944,8503 ,24.8908397,57.5007584,24.7791637,5,
4,22,537678,39430 ,229.04,131.537773,32.4173911,5,
4,23,891734,65394 ,335.034,158.116319,31.1343214,5,
4,24,1290650,94648 ,474.388,171.884439,30.644179,5,
4,25,1659570,121702 ,592.829,184.673949,29.3852131,5,
4,27,2292430,168112 ,809.301,159.896604,28.3259337,5,
4,28,3209400,235356 ,878.728,152.774006,27.7786276,5,
4,29,4126370,302600 ,1129.79,196.423475,35.7153212,5,
4,30,5043340,369845 ,1380.86,240.073215,43.6520419,5,
4,33,478338,35078 ,218.085447,139.590523,32.5946925,5,
4,35,1462710,107265 ,533.46,167.421904,28.7230338,5,
