name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,5103,0,unknown_control,0,-111.929223,40.594991,"<Point><coordinates>-111.929223,40.594991</coordinates></Point>"
,5106,4,4way_stop_sign,0,-111.910268,40.598557,"<Point><coordinates>-111.910268,40.598557</coordinates></Point>"
,5109,1,no_control,0,-111.910315,40.605939,"<Point><coordinates>-111.910315,40.605939</coordinates></Point>"
,5112,1,no_control,0,-111.938730,40.587762,"<Point><coordinates>-111.938730,40.587762</coordinates></Point>"
,5113,1,no_control,0,-111.938770,40.594013,"<Point><coordinates>-111.938770,40.594013</coordinates></Point>"
,5114,5,pretimed_signal,0,-111.929195,40.587794,"<Point><coordinates>-111.929195,40.587794</coordinates></Point>"
,5117,4,4way_stop_sign,0,-111.910225,40.587717,"<Point><coordinates>-111.910225,40.587717</coordinates></Point>"
,5118,5,pretimed_signal,0,-111.904260,40.588014,"<Point><coordinates>-111.904260,40.588014</coordinates></Point>"
,5119,1,no_control,0,-111.901030,40.587971,"<Point><coordinates>-111.901030,40.587971</coordinates></Point>"
,5174,1,no_control,0,-111.913869,40.559071,"<Point><coordinates>-111.913869,40.559071</coordinates></Point>"
,5175,4,4way_stop_sign,0,-111.904348,40.569696,"<Point><coordinates>-111.904348,40.569696</coordinates></Point>"
,5208,1,no_control,0,-111.938693,40.562285,"<Point><coordinates>-111.938693,40.562285</coordinates></Point>"
,5209,1,no_control,0,-111.938738,40.568083,"<Point><coordinates>-111.938738,40.568083</coordinates></Point>"
,5210,1,no_control,0,-111.938741,40.576961,"<Point><coordinates>-111.938741,40.576961</coordinates></Point>"
,5211,1,no_control,0,-111.938687,40.573111,"<Point><coordinates>-111.938687,40.573111</coordinates></Point>"
,5214,1,no_control,0,-111.929207,40.562200,"<Point><coordinates>-111.929207,40.562200</coordinates></Point>"
,5215,4,4way_stop_sign,0,-111.919678,40.572454,"<Point><coordinates>-111.919678,40.572454</coordinates></Point>"
,5216,1,no_control,0,-111.902774,40.558997,"<Point><coordinates>-111.902774,40.558997</coordinates></Point>"
,5219,1,no_control,0,-111.929172,40.576740,"<Point><coordinates>-111.929172,40.576740</coordinates></Point>"
,5232,4,4way_stop_sign,0,-111.929201,40.572493,"<Point><coordinates>-111.929201,40.572493</coordinates></Point>"
,5238,1,no_control,0,-111.938753,40.552997,"<Point><coordinates>-111.938753,40.552997</coordinates></Point>"
,5240,1,no_control,0,-111.911929,40.614669,"<Point><coordinates>-111.911929,40.614669</coordinates></Point>"
