agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
282,282,36,6,1299,5238,934.66,944.40,9.74,1,1,10.00,1,5,5.53,
283,283,21,12,6253,11151,934.67,942.20,7.53,1,1,10.00,1,15,3.36,
284,284,2,9,11123,5356,934.71,944.70,9.99,1,1,10.00,1,15,4.86,
285,285,3,9,11159,5356,934.71,941.60,6.89,1,1,10.00,1,10,3.35,
286,286,28,32,1359,1285,934.71,943.30,8.59,1,1,10.00,1,15,4.32,
287,287,16,2,11827,11123,934.76,938.50,3.74,1,1,10.00,1,15,1.95,
288,288,21,33,6253,1351,934.76,939.80,5.04,1,1,10.00,1,5,2.52,
289,289,37,36,1353,1299,934.79,941.90,7.11,1,1,10.00,1,5,3.62,
290,290,19,41,1352,5578,934.80,942.50,7.70,1,1,10.00,1,15,4.55,
291,291,25,41,1355,5578,934.80,942.00,7.20,1,1,10.00,1,5,3.99,
292,292,5,34,11282,1322,934.80,939.50,4.70,1,1,10.00,1,0,2.36,
293,293,19,11,1352,5119,934.80,942.60,7.80,1,1,10.00,1,15,3.20,
294,294,31,34,8116,1322,934.80,935.90,1.10,1,1,10.00,1,0,0.36,
295,295,27,21,1348,6253,934.80,940.40,5.60,1,1,10.00,1,0,3.13,
296,296,25,11,1355,5119,934.80,938.00,3.20,1,1,10.00,1,5,1.47,
297,297,6,40,5238,1296,934.97,945.20,10.23,1,1,10.00,1,10,5.37,
298,298,6,9,5238,5356,935.00,939.90,4.90,1,1,10.00,1,10,2.75,
299,299,37,13,1353,5034,935.00,941.60,6.60,1,1,10.00,1,0,3.50,
300,300,7,34,11281,1319,935.00,941.90,6.90,1,1,10.00,1,5,3.03,
301,301,31,41,1314,5578,935.00,938.20,3.20,1,1,10.00,1,15,1.97,
302,302,2,3,11123,11159,935.00,938.30,3.30,1,1,10.00,1,5,2.02,
303,303,31,11,1314,5119,935.00,940.40,5.40,1,1,10.00,1,10,2.53,
304,304,3,2,11159,11123,935.00,938.00,3.00,1,1,10.00,1,15,2.02,
305,305,5,11,11282,5119,935.00,943.50,8.50,1,1,10.00,1,15,4.11,
306,306,6,24,5238,1325,935.00,945.60,10.60,1,1,10.00,1,15,4.77,
307,307,37,34,1349,1319,935.00,936.40,1.40,1,1,10.00,1,0,0.48,
308,308,5,13,11282,5034,935.00,944.30,9.30,1,1,10.00,1,0,5.04,
309,309,41,13,5578,5034,935.00,940.20,5.20,1,1,10.00,1,10,3.10,
310,310,17,3,1289,11159,935.00,939.80,4.80,1,1,10.00,1,0,2.52,
311,311,32,21,1285,6253,935.00,945.60,10.60,1,1,10.00,1,5,5.86,
312,312,7,27,11281,1346,935.06,939.40,4.34,1,1,10.00,1,5,2.21,
